DC215  General Nursing                                      450                                          
DC216  Psychiatric Nursing                                  375                                          
DC217  Intellectual Disability Nursing                      375                                          
DC218  Childrens and General Nursing Integrated          485                                          
DC225  Mature Applicants General Nursing                                                                 
DC226  Mature Applicants Psychiatric Nursing                                                             
DC227  Mature Applicants Intellectual Disability Nursing                                                 
DC228  Mature Applicants Childrens and General Nursing                                                 
DC230  Economics  Politics and Law                          400                                          
DC231  International Relations                              385                                          
DC232  Law and Society BCL                                450                                          
DC235  Education and Training  Daytime or Flexible Deliv   315                                          
DC238  Contemporary Culture and Society                     345                                          
DC239  Gaeilge agus IriseoireachtIrish and Journalism      345                                          
DC240  Marketing  Innovation and Technology                 470                                          
DC291  Arts Joint Honours  Media Studies                 385                                          
DC292  Arts Joint Honours  Law                           385                                          
DC293  Arts Joint Honours  International Languages       390                                          
DC294  Arts Joint Honours  Gaeilge                       390                                          
DC295  Arts Joint Honours  Politics                      385                                          
DT001  Product Design                                       435      430                                 
DT021  ElectricalElectronic Engineering                    425                                          
DT023  Manufacturing and Design Engineering                 415                                          
DT028  Transport Operations and Technology                  270                                          
DT035  Electrical Services and Energy Management            300                                          
DT066  Engineering General Entry                          380                                          
DT081  Computer and Communications Engineering              430                                          
DT101  Architecture                                         #605                                         
DT106  Planning and Environmental Management                300                                          
DT110  Property Economics Valuation Surveying             350                                          
DT111  Quantity Surveying and Construction Economics        350                                          
DT112  Geographic Science                                   310                                          
DT117  Construction Management                              325                                          
DT175  Architectural Technology                             365                                          
DT201  Science General Entry                              470                                          
DT203  Forensic and Environmental Chemistry                 325                                          
DT204  Biomedical Science                                   500                                          
DT205  Mathematical Sciences                                305                                          
DT206  Biomedical and Molecular Diagnostics                 420                                          
DT211  Computer Science Infrastructure                    360                                          
DT220  Industrial Mathematics                               285      285                                 
DT221  Physics with Energy and Environment                  350                                          
DT222  Physics Technology                                   350                                          
DT223  Human Nutrition and Dietetics                        550      545                                 
DT224  Optometry                                            490                                          
DT225  Public Health Nutrition                              405                                          
DT227  Science with Nanotechnology                          300                                          
DT228  Computer Science                                     450                                          
DT229  Clinical Measurement Science                         465                                          
DT235  Physics with Medical Physics and Bioengineering      330                                          
DT255  Information SystemsInformation Technology Mature   350                                          
DT282  Computer ScienceInternational                      350                                          
DT299  Chemical Sciences with Medicinal Chemistry           395                                          
DT302  Business Analytics                                   360                                          
DT321  Business and Law                                     470                                          
DT341  Marketing                                            405                                          
DT343  Retail and Services Management                       300                                          
DT354  Business Computing                                   350                                          
DT358  Logistics and Supply Chain Management                300                                          
DT365  Business and Management                              450                                          
DT366  Accounting and Finance                               430                                          
DT398  Human Resource Management                            375                                          
DT399  Economics and Finance                                445                                          
DT401  International Hospitality Management                 300                                          
DT405  Culinary Science                                     330                                          
DT407  Culinary Arts                                        300                                          
DT412  Tourism Marketing                                    290                                          
DT413  Event Management                                     365                                          
DT416  Culinary Entrepreneurship                            290                                          
DT417  Bar Studies Management and Entrepreneurship        280                                          
DT420  Nutraceuticals in Health and Nutrition               430                                          
DT421  Food Innovation                                      375                                          
DT422  Pharmaceutical Healthcare                            390                                          
DT491  Environmental Health                                 330                                          
DT501  Music                                                #404     #404                                
DT504  Film and Broadcasting                                450                                          
DT506  Commercial Modern Music                              #750                                         
DT508  Games Design                                         385                                          
DT517  Languages and English Studies                        335                                          
DT518  Languages and International Tourism French         315                                          
DT519  Languages and International Tourism German         305                                          
DT520  Languages and International Tourism Spanish        300                                          
DT529  Drama Performance                                  #365                                         
DT532  Law LLB                                            425                                          
DT533  Contemporary Visual Culture                          300                                          
DT544  Design  Interior and Furniture                      #600                                         
DT545  Design  Visual Communication                        #775                                         
DT546  Fine Art                                             #645                                         
DT555  International Business and Languages French        400                                          
DT556  International Business and Languages German        400                                          
DT557  International Business and Languages Spanish       400                                          
DT559  Photography                                          #765                                         
DT564  International Business and Languages Italian       355                                          
DT565  International Business and Languages Chinese       360                                          
DT571  Social Care                                          405                                          
DT572  Early Childhood Education                            380                                          
DT582  Journalism                                           380                                          
DT596  Print and Digital Media Technology Management        280      230                                 
DT597  Creative and Cultural Industries                     315                                          
DL821  English  Media and Cultural Studies                  225                                          
DL822  Cultural Enterprise                                  230      230                                 
DL823  Business Studies  Entrepreneurship and Management   225                                          
DL825  Applied Psychology                                   380                                          
DL826  Visual Communication Design                          #845                                         
DL827  Art                                                  #667                                         
DL828  3D Design  Modelmaking and Digital Art               #555                                         
DL829  Design for Stage and Screen Costume Design         #815                                         
DL830  Design for Stage and Screen Makeup Design          #900                                         
DL831  Design for Stage and Screen Production Design      #560                                         
DL832  Animation                                            #800                                         
DL833  Photography                                          #655                                         
DL834  Film and Television Production                       #885                                         
DL835  Creative Media Technologies                          210                                          
DL836  Creative Computing                                   270                                          
GC200  Business Studies Cork                              280      280                                 
GC201  Accounting and Finance Cork                        350      300                                 
GC230  Computing Science Cork                             255      240                                 
GC300  Business Studies Limerick                          260      260                                 
GC305  International Hospitality Management Limerick      245                                          
GC400  Business Studies Dublin                            245      245                                 
GC401  Accounting and Finance Dublin                      275      275                                 
GC402  Business Studies HRM  Dublin                      360                                          
GC403  Law Dublin                                         240      240                                 
GC405  International Hospitality Management Dublin        245                                          
GC407  Business Studies Marketing  Dublin                215      215                                 
GC430  Computing Science Dublin                           240      240                                 
GC431  Computing Science Cloud Computing  Dublin         240      240                                 
GC432  Computing Science Software Development  Dublin    250                                          
GC433  Computing Science Network Management  Dublin      290                                          
GC434  Computing Science Games Development  Dublin       240      240                                 
GC450  Journalism and Visual Media Dublin                 225      225                                 
GC455  Music Production Dublin  Portfolio                #330                                         
GC462  Design Communication Dublin  Portfolio            #320                                         
GC489  Interior Architecture Dublin                       195      195                                 
GC494  Fashion Design Dublin  Portfolio                  #285                                         
BY401  Business                                                                                          
ID001  Accounting and Finance                                                                            
ID002  Business Studies                                                                                  
ID003  Business Studies with Chinese                                                                     
BN101  Business                                             250                                          
BN103  Business and Information Technology                  267                                          
BN104  Computing Information Technology                   270                                          
BN107  Applied Social Studies in Social Care                310                                          
BN108  Engineering Award options Computer Engineering     310                                          
BN109  Business Common Entry  Acc  Finance Business Bu   305                                          
BN110  International Business                               255                                          
BN111  Sports Management and Coaching                       310                                          
BN112  Creative Digital Media                               300                                          
BN113  Horticulture                                         255                                          
BN114  Accounting and Finance                               300                                          
BN115  Community and Youth Development                      305                                          
BN117  Computer Engineering in Mobile Systems               325                                          
BN118  Early Childhood Care and Education                   300                                          
BN119  Digital Marketing                                    310                                          
BN120  Digital Forensics and Cyber Security                 300                                          
BN121  Mechatronic Engineering                              325                                          
TA021  European Studies                                     235      235                                 
TA022  Creative Digital Media                               235                                          
TA023  Advertising and Marketing Communications             235                                          
TA025  Social Care Practice                                 300                                          
TA026  International Hospitality and Tourism Management     200      200                                 
TA121  Accounting and Finance                               215      215                                 
TA122  Management                                           245                                          
TA123  Marketing Management                                 225      225                                 
TA221  Electronic Engineering                               215                                          
TA222  Mechanical Engineering                               220      220                                 
TA223  Energy Systems Engineering                           275      275                                 
TA321  Pharmaceutical Science                               280                                          
TA322  Computing Options  Software  IT Management  Data   250                                          
TA326  DNA and Forensic Analysis                            300                                          
TA327  Sports Science and Health                            365                                          
AD101  1st Year Art and Design Common Entry               #matric #matric                            
AD202  Design or Fine Art  and Education  Second Level T   #matric                                     
AD212  Product Design                                       #matric #matric                            
AD215  Visual Culture                                       325                                          
NC003  Computing                                            310                                          
NC004  Business Information Systems                         310                                          
NC005  Human Resource Management                            290                                          
NC009  Business                                             290                                          
NC010  Psychology                                           320                                          
NC020  Marketing Practice                                   200      285v                                
NC022  Accounting and Finance                               320                                          
