code,year,points,college,audition,desc
GY516,2008,350, National University of Ireland Galway,False, Psychiatric Nursing
GY515,2008,380, National University of Ireland Galway,False, General Nursing Galway and Portiuncula
SG141,2008,280, Institute of Technology Sligo,False, Business Level
SG145,2008,400, Institute of Technology Sligo,False, Computing in Web Development
CK713,2008,174, University College Cork (NUI),True, Mature Applicants Childrens and General Nursing Integrated
CK712,2008,490, University College Cork (NUI),False, Childrens and General Nursing Integrated
CK711,2008,160, University College Cork (NUI),True, Mature Applicants General Nursing
CK710,2008,395, University College Cork (NUI),False, General Nursing
LM053,2008,385, University of Limerick,False, Business Studies and a Modern Language German
TR009,2008,465, Trinity College,True, Music Education
TR008,2008,335, Trinity College,False, Religions and Theology
TR007,2008,510, Trinity College,False, Clinical Speech and Language Studies
TR006,2008,535, Trinity College,False, Psychology
TR005,2008,430, Trinity College,False, Philosophy
TR004,2008,530, Trinity College,False, Law
TR003,2008,450, Trinity College,False, History
TR002,2008,435, Trinity College,True, Music
LM060,2008,385, University of Limerick,False, Mathematical Sciences
LM061,2008,355, University of Limerick,False, Pharmaceutical and Industrial Chemistry
GC489,2008,325, Griffith College,False, Interior Architecture AQA
LM063,2008,305, University of Limerick,False, Production Management
LM064,2008,365, University of Limerick,False, Industrial Biochemistry
LM065,2008,360, University of Limerick,False, Applied Physics
LY938,2008,169, Letterkenny Institute of Technology,True, Mature Applicants General Nursing
LM067,2008,305, University of Limerick,False, Wood Science and Technology
LM068,2008,350, University of Limerick,False, Food Science and Health
LM069,2008,435, University of Limerick,False, Computer Engineering
CR105,2008,350, Cork Institute of Technology,False, Chemical and Process Engineering
CR106,2008,215, Cork Institute of Technology,False, Software Development
CR109,2008,380, Cork Institute of Technology,False, Structural Engineering
CR108,2008,330, Cork Institute of Technology,False, Mechanical Engineering
MD301,2008,390, Mater DEI,False, Religion Education and History second level teaching
DC118,2008,390, Dublin City University,False, Gn agus Gaeilge
DK814,2008,280, Dundalk Institute of Technology,False, Business Studies in International Management
DK812,2008,280, Dundalk Institute of Technology,False, Marketing
DK810,2008,300, Dundalk Institute of Technology,False, Accounting and Finance
DC112,2008,420, Dublin City University,False, European Business French
DC113,2008,375, Dublin City University,False, European Business German
SN002,2008,580, Shannon College of Hotel Management,True, Commerce
DC111,2008,425, Dublin City University,False, Business Studies
DC116,2008,505, Dublin City University,False, European Business Transatlantic Studies
DC114,2008,405, Dublin City University,False, European Business Spanish
DC115,2008,435, Dublin City University,False, Accounting and Finance
TL183,2008,205, Institute of Technology Tralee,False, Adventure Tourism Management
DC181,2008,360, Dublin City University,False, Biotechnology
DT358,2008,250, Dublin Institute of Technology,False, Logistics and Supply Chain Management
TR092,2008,158, Trinity College,True, Mature Applicants General Nursing Meath and St Jamess
DB512,2008,190, Dublin Business School & DBS School of Arts,False, Business Studies
DB515,2008,225, Dublin Business School & DBS School of Arts,False, Business with Human Resource Management
DB514,2008,240, Dublin Business School & DBS School of Arts,False, Business and Law
DB517,2008,210, Dublin Business School & DBS School of Arts,False, Marketing with Event Management
DB516,2008,240, Dublin Business School & DBS School of Arts,False, Business with Financial Services
DB519,2008,210, Dublin Business School & DBS School of Arts,False, Business Management with Leisure and Recreation
DT354,2008,330, Dublin Institute of Technology,False, Business Computing
CW808,2008,300, Institute of Technology Carlow,False, Communications and Public Relations
MD401,2008,360, Mater DEI,True, Religion Education and Music second level teaching
GA880,2008,350, Galway-Mayo Institute of Technology,False, General Nursing Castlebar
DN018,2008,455, University College Dublin (NUI),False, Commerce International with Spanish
DN019,2008,435, University College Dublin (NUI),False, Commerce International with Italian
LC951,2008,360, Limerick Institute of Technology,False, Law and Taxation
DN015,2008,450, University College Dublin (NUI),False, Commerce
DN016,2008,425, University College Dublin (NUI),False, Commerce International with German
DN017,2008,490, University College Dublin (NUI),False, Commerce International with French
DN010,2008,375, University College Dublin (NUI),False, Agricultural Science
DN012,2008,350, University College Dublin (NUI),False, Arts
DN013,2008,465, University College Dublin (NUI),False, Commerce Business with Chinese Studies
LM030,2008,300, University of Limerick,True, Irish Music and Dance
DC218,2008,430, Dublin City University,False, Childrens and General Nursing Integrated
WD048,2008,305, Waterford Institute of Technology,False, Business
MH404,2008,405, Maynooth University,False, Business and Management
MH405,2008,355, Maynooth University,False, Equine Business
MH406,2008,465, Maynooth University,False, Business and Law
DN080,2008,455, University College Dublin (NUI),False, Engineering Science
MH401,2008,350, Maynooth University,False, Finance
MH402,2008,355, Maynooth University,False, Finance and Venture Management with Bioscience or Electron
MH403,2008,375, Maynooth University,False, Finance and Accounting
LM082,2008,380, University of Limerick,False, Construction Management and Engineering
CW118,2008,280, Institute of Technology Carlow,False, Biosciences with Biopharmaceuticals
DN120,2008,330, University College Dublin (NUI),False, Psychiatric Nursing
DN121,2008,137, University College Dublin (NUI),True, Mature Applicants Psychiatric Nursing
CK301,2008,500, University College Cork (NUI),False, Law Threeyears
CK302,2008,505, University College Cork (NUI),False, Law and French
CK303,2008,450, University College Cork (NUI),False, Law and German
CK304,2008,530, University College Cork (NUI),False, Law and Irish
LM071,2009,425, University of Limerick,False, Biomedical Engineering
CK111,2009,370, University College Cork (NUI),False, Early Childhood Studies
CK112,2009,425, University College Cork (NUI),True, Drama and Theatre Studies
CK115,2009,nan, University College Cork (NUI),False," Social Work Mature Applicants only #
"
CK114,2009,nan, University College Cork (NUI),False," Social Science Youth Community Work Mature Apps only #
"
CK116,2009,480, University College Cork (NUI),False, Sports Studies and Physical Education
WD140,2009,315, Waterford Institute of Technology,False, Legal Studies
WD147,2009,325, Waterford Institute of Technology,False, Pharmaceutical Science
AC120,2009,nan, American College,False," International Business AQA AQA
"
AC121,2009,nan, American College,False," Accounting and Finance AQA AQA
"
WD149,2009,330, Waterford Institute of Technology,False, Early Childhood Studies
WD148,2009,280, Waterford Institute of Technology,False, Tourism Marketing
GY203,2009,395, National University of Ireland Galway,False, Commerce International with German
GY202,2009,465, National University of Ireland Galway,False, Commerce International with French
CR510,2009,380, Cork Institute of Technology,False, Sustainable Energy
GY207,2009,455, National University of Ireland Galway,False, Commerce Accounting
GY206,2009,340, National University of Ireland Galway,False, Business Information Systems
GY205,2009,375, National University of Ireland Galway,False, Commerce International with Italian
GY204,2009,330, National University of Ireland Galway,False, Commerce International with Spanish
BY101,2009,255, IBAT College Dublin,False, Business
BN112,2009,300, Institute of Technology Blanchardstown,False, Creative Digital Media
BN111,2009,320, Institute of Technology Blanchardstown,False, Sports Management and Coaching
BN110,2009,235, Institute of Technology Blanchardstown,False, International Business
BN115,2009,270, Institute of Technology Blanchardstown,False, Community and Social Development
MH109,2009,425, Maynooth University,False, Media Studies
MH108,2009,365, Maynooth University,False, European Studies
WD817,2009,158, Waterford Institute of Technology,True, Mature Applicants Psychiatric Nursing
WD816,2009,175, Waterford Institute of Technology,True, Mature Applicants General Nursing
GA380,2009,255, Galway-Mayo Institute of Technology,False, Hotel and Catering Management
GY413,2009,445, National University of Ireland Galway,False, Energy Systems Engineering
GY410,2009,350, National University of Ireland Galway,False, Project and Construction Management
GY411,2009,405, National University of Ireland Galway,False, Sports and Exercise Engineering
MH101,2009,375, Maynooth University,False, Arts
MH103,2009,nan, Maynooth University,False," Music #
"
GY107,2009,425, National University of Ireland Galway,False, Na Dna Gaeilge agus Lann an Aistrchin
MH104,2009,505, Maynooth University,False, Mathematics
MH107,2009,390, Maynooth University,False, Social Science
MH106,2009,500, Maynooth University,False, Psychology
LM058,2009,350, University of Limerick,False, Financial Mathematics
LM051,2009,310, University of Limerick,False, Computer Systems
CR333,2009,275, Cork Institute of Technology,False, Nutrition and Health Science
CR330,2009,225, Cork Institute of Technology,False, Herbal Science
LM052,2009,380, University of Limerick,False, Business Studies and a Modern Language French
LM055,2009,350, University of Limerick,False, Business Studies and a Modern Language Japanese
CW438,2009,310, Institute of Technology Carlow,False, Construction Quantity Surveying
TL412,2009,315, Institute of Technology Tralee,False, Pharmaceutical Analysis with Environmental Science
TL410,2009,295, Institute of Technology Tralee,False, Pharmaceutical Analysis with Forensics
CW208,2009,300, Institute of Technology Carlow,False, Computer Games Development
TL415,2009,265, Institute of Technology Tralee,False, Applied Biology
DC239,2009,420, Dublin City University,False, Gaeilge agus IriseoireachtIrish and Journalism
DC238,2009,345, Dublin City University,False, Contemporary Culture and Society
DC235,2009,335, Dublin City University,False, Education and Training
DC232,2009,445, Dublin City University,False, Law and Society BCL
DC231,2009,415, Dublin City University,False, International Relations
DC230,2009,415, Dublin City University,False, Economics Politics and Law
GA180,2009,275, Galway-Mayo Institute of Technology,False, Gn agus Cumarsid
CW828,2009,305, Institute of Technology Carlow,False, Business International Business
WD144,2009,440, Waterford Institute of Technology,False, Architecture
MH202,2009,355, Maynooth University,False, Biotechnology
PD101,2009,475, St Patrick's Drumcondra,False, Education Primary Teaching
PD102,2009,435, St Patrick's Drumcondra,False, Education Primary Teaching Gaeltacht Applicants
PD103,2009,415, St Patrick's Drumcondra,False, ArtsHumanities
MH206,2009,485, Maynooth University,False, Theoretical Physics and Mathematics
MH207,2009,370, Maynooth University,False, Genetics and Bioinformatics
MH204,2009,410, Maynooth University,False, Physics with Astrophysics
MH208,2009,400, Maynooth University,False, Biological and Biomedical Sciences
MH209,2009,460, Maynooth University,False, Psychology through Science
TR054,2009,495, Trinity College,False, Occupational Therapy
TR055,2009,515, Trinity College,False, Radiation Therapy
CW728,2009,270, Institute of Technology Carlow,False, Product Design Innovation
AS131,2009,160, St. Angela`s College,True, Mature Applicants Intellectual Disability Nursing
TR051,2009,723, Trinity College,True, Medicine
TR052,2009,570, Trinity College,False, Dental Science
TR053,2009,520, Trinity College,False, Physiotherapy
TR085,2009,480, Trinity College,False, Business Studies and French
DT553,2009,435, Dublin Institute of Technology,False, Journalism
DT552,2009,425, Dublin Institute of Technology,False, Media Arts
TR084,2009,450, Trinity College,False, Social Studies Social Work
DT557,2009,350, Dublin Institute of Technology,False, International Business and Languages Spanish
DT556,2009,330, Dublin Institute of Technology,False, International Business and Languages German
DT555,2009,390, Dublin Institute of Technology,False, International Business and Languages French
DT412,2009,290, Dublin Institute of Technology,False, Tourism Marketing
DT413,2009,380, Dublin Institute of Technology,False, Event Management
DT559,2009,650, Dublin Institute of Technology,True, Photography
DT416,2009,295, Dublin Institute of Technology,False, Culinary Entrepreneurship
DT417,2009,290, Dublin Institute of Technology,False, Bar Studies Management and Entrepreneurship
TR082,2009,365, Trinity College,False, Business and Computing
DN119,2009,169, University College Dublin (NUI),True, Mature Applicants Midwifery
DN118,2009,420, University College Dublin (NUI),False, Midwifery
TR081,2009,475, Trinity College,False, Business Economic and Social Studies
DN111,2009,156, University College Dublin (NUI),True, Mature Applicants General Nursing
DN110,2009,385, University College Dublin (NUI),False, General Nursing
TI008,2009,210, Tipperary Institute,False, Environmental and Natural Resource Management
GY201,2009,360, National University of Ireland Galway,False, Commerce
DN117,2009,166, University College Dublin (NUI),True, Mature Applicants Childrens and General Nursing Integrated
DN116,2009,465, University College Dublin (NUI),False, Childrens and General Nursing Integrated
DC162,2009,370, Dublin City University,False, Chemical and Pharmaceutical Sciences
DC161,2009,370, Dublin City University,False, Analytical Science
DC167,2009,350, Dublin City University,False, Physics with Astronomy
DC166,2009,350, Dublin City University,False, Environmental Science and Health
DC165,2009,350, Dublin City University,False, Science International Programme
FR002,2009,nan, Froebel College,False," Education Primary Teaching Gaeltacht Applicants
"
DC168,2009,400, Dublin City University,False, Genetics and Cell Biology
SG449,2009,255, Institute of Technology Sligo,False, Medical Biotechnology
SG448,2009,350, Institute of Technology Sligo,False, Forensic Investigation and Analysis
BN113,2009,310, Institute of Technology Blanchardstown,False, Horticulture
LM079,2009,380, University of Limerick,False, Manufacturing Engineering
