DL241  EnglishMedia  Cultural stud                        400*     430      55                         
DL242  Arts and Media Management                            310      345      57                         
FR001  Froebel                                              430*     440                                 
FR002  FroebelGael                                         390      400                                 
GC400  Business Studies                                     AQA      320      19                         
GC401  Accounting and Finance                               250      320      4                          
GC402  Law with Business                                    300      350      15                         
GC430  Computing Science                                    AQA      285      13                         
GC450  Journalism and Media Comms                           280      340      52                         
TA109  Applied Languages                                    255      325      20                         
TA110  European Studies                                     210      320      30                         
MD201  ReligionEducationEnglish                           365      390      25                         
MD301  ReligionEducationHistory                           355      365      19                         
MD401  ReligionEducationMusic                             345#     390#     15                         
MD500  Irish Studies and Religious Studies                  270      330      16                         
PT011  BA Philosophy                                        300      340      13                         
PT012  BA Theology and Pastoral Care                        AQA      295      6                          
PT013  BA PhilosophyTheology                               AQA      320      10                         
AD001  ArtDesign Teaching                                  #        #                                   
NC001  AccountingHRM                                    360*     385      170                        
NC002  European buslang                                   No offers                                    
NC003  Software Systems                                     300      330      37                         
NC011  AccountingHRMArea Based Part                     285      355      3                          
NC012  European buslangArea Based Part                    No offers                                    
NC013  Software Systems  Area Based Part                    265      265                                 
PB253  Business Studies                                     220      310      21                         
RC001  Medicine                                             555      560      23                         
RC003  Medicine with Leaving Cert Scholarship               585*     590      8                          
RC004  Physiotherapy                                        520*     530      12                         
RC005  Pharmacy                                             535*     540      38                         
CS001  Home Economics                                       420*     445      32                         
PD101  Drumcondra                                           440*     470      370                        
PD102  DrumcondraGael                                      400      410      13                         
PD103  DrumBA Humanities                                 390      415      124                        
TR002  Music                                                400**    450      11                         
TR003  History                                              475      510      38                         
TR004  Law                                                  545      570      79                         
TR005  Philosophy                                           445      475      16                         
TR006  Psychology                                           540      555      30                         
TR007  Clinical Speech and Language Studies                 525      540      27                         
TR008  Biblical and Theological Studies                     290      355      17                         
TR009  Music Education                                      345**    420      10                         
TR010  Computer Science Linguistics and German              455      530      4                          
TR011  Computer Science Linguistics and French              390      500      2                          
TR012  History and Political Science                        545      570      12                         
TR013  Computer Science Linguistics and Irish               No offers                                    
TR014  Philosophy and Political Science                     490      510      14                         
TR018  Law and French                                       580      585      10                         
TR019  Law and German                                       540      550      11                         
TR021  Classics                                             260      460      8                          
TR022  Early and Modern Irish                               305      350      17                         
TR023  English Studies                                      515      545      33                         
TR024  European Studies                                     505      540      35                         
TR025  Drama and Theatre Studies                            495***   530      12                         
TR026  Germanic Languages                                   300      415      7                          
TR031  Mathematics                                          390      480      26                         
TR032  Engineering                                          420*     455      173                        
TR033  Computer Science                                     345      430      60                         
TR034  Management Science and Information Systems Studies   475      510      24                         
TR035  Theoretical Physics                                  490      540      34                         
TR036  Computer Science  Evening                          320      370      6                          
TR037  Information  Communications Technology              320      440      13                         
TR038  Manufacturing Engineering with Management Science    320      390      15                         
TR051  Medicine                                             565*     570      60                         
TR052  Dental Science                                       540      565      31                         
TR053  Physiotherapy                                        525      545      40                         
TR054  Occupational Therapy                                 495*     510      47                         
TR055  Therapeutic Radiography                              490*     510      25                         
TR071  Science                                              385      465      304                        
TR072  Pharmacy                                             550      570      80                         
TR073  Human Genetics                                       540      555      12                         
TR074  Computational Chemistry  Computational Physics      No offers                                    
TR075  Medicinal Chemistry                                  470*     505      37                         
TR076  Physics and Chemistry of Advanced Materials          375      410      9                          
TR081  Business Economic and Social Studies                 465      490      255                        
TR083  Sociology and Social Policy                          450      475      22                         
