                                 ADMISSION DATA 2013
                                      Level 7/6

              The details given are for general information only and do not
               form part of any contract. They are not intended for use in
                determining whether any individual applicant is or is not
                     entitled to an offer of a higher education place

    *         Not all on this points score were offered places
    #         Test / Interview / Portfolio etc.
   AQA        All qualified applicants
    v         New competition for Available/Vacant Places
    +         Includes Project / Portfolio Score
              Notes: The final points column shows the lowest points score
              achieved by an applicant who received an offer of a place on
              the course. The mid point is the points score of the applicant
              in the middle of a list of offerees placed in points score order.
              Applicants who are offered places might not necessarily
              accept a place. In most cases, the points scores shown here
              are based on performance in the Leaving Certificate.
              Applicants offered on mature grounds are not accounted for
              in this chart, with the exception of applicants for Mature Code
              nursing courses.
Course Code                    INSTITUTION and COURSE                             Final   Mid point
TA313    Information Technology Management                   245    275
TA314    Pharmaceutical Science                              325    370
TA315    DNA and Forensic Science                            380    435
TA316    Sports Science and Health                           395    445
                      NATIONAL COLLEGE OF IRELAND
NC008    Management of Technology in Business                230    305
NC102    Computing in Applications and Support               200    290
NC103    Business                                            200    285
                           PORTOBELLO INSTITUTE
PI201#   Montessori Education                               250#    350
                          TRINITY COLLEGE DUBLIN
TR801    Dental Nursing                                      360*   415
TR802    Dental Hygiene                                     435*#   495
TR803    Dental Technology                                   410#   440
                                   DUNDALK IT
DK650    Culinary Arts                                       230    305
DK651    Hospitality Studies                                 200    235
DK685    Agriculture                                         345    380
DK710    Business & Management                               100    300
DK711    Business & Technology                              AQA     270
DK721    Computing (incorporating 3 award options)           125    300
DK740    Engineering - Electrical and Electronic Systems    AQA     310
DK742    Engineering - Mechanical Engineering                140    325
DK744    Engineering - Civil Engineering                     125    325
DK745   Construction Technology                                      AQA    260
DK750   Hospitality Management                                        190   260
DK752   Event Management                                              170   290
DK762   Communications in Creative Multimedia                         205   340
DK763   Sport, Exercise and Enterprise                               245*   310
DK765   Video and Film Production                                     235   360
DK767   Community Youth Work                                            #     #
DK768   Music and Audio Production                                    275   365
DK781   Science - Applied Bioscience                                  165   360
DK783   Science - Pharmaceutical Science                             270*   350
DK784   Veterinary Nursing                                           390*   430
                             GALWAY-MAYO IT
GA170   Business                                                      205   365
GA171   Administration and Information Systems                        200   335
GA172   Rural Enterprise and Agri-Business (Year 1 at Mountbellew)    285   345
GA270   Art and Design                                               428+   762
GA272   Heritage Studies                                              145   345
GA360   Tourism                                                       145   225
GA361   Culinary Arts                                                 160   280
GA362   Hospitality Studies                                           140   235
GA363   Bar Supervision                                               140   245
GA370   Hotel and Catering Management                                 160   275
GA372   Culinary Arts                                                 160   305
GA373   Bar Management                                                140   255
GA374   Tourism Management                                            185   280
GA375   Retail and Customer Service Management                        140   265
GA376   Event Management with Public Relations                        220   335
GA460   Construction Management                                       160   245
GA461   Construction Economics and Quantity Surveying                 140   415
GA462   Architectural Technology                                      180   330
GA463   Civil Engineering                                             150   380
GA470   Construction Management                                       155   260
